Start date,Incident type,Receiver country,Category,Initiator country,Political responses,MITRE Impact,Intelligence impact,International Law Breach Indicator,Year
2024-01-01,Ransomware,Taiwan,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2024
2024-01-01,Data theft,Chile,Other,Unknown,0,Data Exfiltration,2,Sovereignty,2024
2024-01-01,Disruption,Switzerland,Other,Unknown,0,Data Encrypted for Impact,1,Human rights,2024
2024-01-01,Data theft,Iran,Government and Research,Unknown,0,Data Exfiltration,5,Due diligence,2024
2024-01-01,Ransomware,Germany,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-01-01,Data theft,Netherlands,Military,Unknown,1,Data Exfiltration,3,Human rights,2024
2024-01-01,Data theft,United States,Not available,United States,0,Data Exfiltration,3,Human rights,2024
2024-01-01,Hijacking,United States,Critical Manufacturing,Unknown,0,Account Access Removal,1,Sovereignty,2024
2024-01-01,Data theft,Philippines,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2024
2024-01-01,Disruption,India,Finance,Unknown,0,Data Encrypted for Impact,1,Due diligence,2024
2024-01-01,Data theft,Korea,Administration,Korea,1,Data Exfiltration,2,Sovereignty,2024
2024-01-01,Ransomware,Australia,Critical Manufacturing,Unknown,1,Data Exfiltration,5,Human rights,2024
2024-01-01,Ransomware,United States,Military,Unknown,0,Data Exfiltration,2,Due diligence,2024
2024-01-01,Disruption,United Kingdom,Critical Manufacturing,Unknown,0,Data Encrypted for Impact,1,Sovereignty,2024
2024-01-01,Data theft,Middle East region,Government,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-01-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-01-01,Data theft,United Kingdom,Government and Research,Russia,1,Data Exfiltration,5,Cyber espionage,2024
2024-01-01,Hijacking,United States,Government and Research,Unknown,0,Account Access Removal,1,Sovereignty,2024
2024-01-01,Data theft,France,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Due diligence,2024
2024-01-01,Disruption,Russia,Finance,Ukraine,0,Network Denial of Service,1,Armed conflict,2024
2024-01-01,Data theft,Uruguay,Not available,Unknown,1,Data Exfiltration,2,Human rights,2024
2024-01-01,Disruption,Singapore,Other,Unknown,0,Data Encrypted for Impact,1,Sovereignty,2024
2024-01-01,Ransomware,United States,Government and Research,Unknown,0,Data Exfiltration,2,Sovereignty,2024
2024-01-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-01-01,Hijacking,United Arab Emirates,Government and Research,Iran,0,Data Exfiltration,5,Human rights,2024
2024-01-01,Ransomware,Taiwan,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Due diligence,2024
2024-01-01,Disruption,Germany,Administration,Unknown,0,Data Encrypted for Impact,1,Sovereignty,2024
2024-01-01,Hijacking,Lebanon,Critical Manufacturing,Unknown,0,Defacement,1,Air law,2024
2021-02-01,Data theft,Togo,Not available,Togo,0,Data Exfiltration,3,Human rights,2021
2022-02-01,Data theft,Ukraine,Finance,Unknown,0,Data Exfiltration,2,Cyber espionage,2022
2022-02-01,Data theft,Russia,Government and Research,Unknown,0,Data Exfiltration,4,Armed conflict,2022
2022-02-01,Disruption,Russia,Government and Research,Russia,0,Network Denial of Service,1,Sovereignty,2022
2022-02-01,Data theft,Ukraine,Military,China,0,Data Exfiltration,1,International peace,2022
2022-02-01,Data theft,Global,Critical Manufacturing,Korea,0,Data Exfiltration,2,Sovereignty,2022
2022-02-01,Data theft,Pakistan,Government and Research,Unknown,0,Data Exfiltration,2,Sovereignty,2022
2023-02-01,Data theft,United States,Administration,Unknown,0,Data Exfiltration,4,Human rights,2023
2023-02-01,Disruption,South Africa region,Critical Manufacturing,Unknown,0,Data Encrypted for Impact,1,Human rights,2023
2023-02-01,Data theft,Europe region,Government and Research,Russia,0,Data Exfiltration,2,Cyber espionage,2023
2023-02-01,Data theft,Guyana,Government and Research,China,0,Data Exfiltration,2,Due diligence,2023
2023-02-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2023
2023-02-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-02-01,Data theft,Southeast Asia region,Government and Research,China,0,Data Exfiltration,2,Cyber espionage,2023
2023-02-01,Ransomware,United States,Finance,Unknown,0,Data Exfiltration,3,Sovereignty,2023
2023-02-01,Data theft,Middle East region,Government and Research,Iran,0,Data Exfiltration,2,Cyber espionage,2023
2023-02-01,Disruption,Tonga,Critical Manufacturing,Unknown,0,Data Encrypted for Impact,3,Sovereignty,2023
2023-02-01,Disruption,United States,Other,Unknown,0,Data Encrypted for Impact,1,Sovereignty,2023
2023-02-01,Data theft,Ukraine,Government and Research,Russia,0,Data Exfiltration,3,Cyber espionage,2023
2023-02-01,Disruption,United States,Administration,Unknown,0,Data Encrypted for Impact,1,Human rights,2023
2023-02-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Due diligence,2023
2023-02-01,Disruption,Colombia,Critical Manufacturing,Unknown,1,Data Encrypted for Impact,1,Human rights,2023
2023-02-01,Disruption,United Kingdom,Government and Research,Russia,0,Data Encrypted for Impact,1,Due diligence,2023
2023-02-01,Hijacking,Mexico,Finance,Unknown,0,Data Manipulation,1,Sovereignty,2023
2023-02-01,Data theft,Global,Critical Manufacturing,Iran,0,Data Exfiltration,2,Cyber espionage,2023
2023-02-01,Data theft,United States,Critical Manufacturing,Russia,0,Data Exfiltration,5,Human rights,2023
2023-02-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2023
2024-02-01,Data theft,China,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2024
2024-02-01,Disruption,United States,Administration,Unknown,0,Data Encrypted for Impact,1,Human rights,2024
2024-02-01,Data theft,Spain,Military,Unknown,0,Data Exfiltration,5,Human rights,2024
2024-02-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-02-01,Data theft,Estonia,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-02-01,Disruption,Finland,Administration,Russia,0,Network Denial of Service,1,Due diligence,2024
2024-02-01,Data theft,Middle East region,Government and Research,Unknown,0,Data Exfiltration,3,Sovereignty,2024
2024-02-01,Disruption,Malawi,Administration,Unknown,1,Data Encrypted for Impact,1,Sovereignty,2024
2020-03-01,Data theft,Iran,Administration,Iran,0,Data Exfiltration,3,Human rights,2020
2020-03-01,Data theft,Canada,Administration,Unknown,0,Data Exfiltration,2,Human rights,2020
2021-03-01,Data theft,Netherlands,Critical Manufacturing,Netherlands,0,Data Exfiltration,4,Human rights,2021
2022-03-01,Data theft,Ukraine,Government and Research,Unknown,0,Data Exfiltration,2,Cyber espionage,2022
2022-03-01,Data theft,South Asia region,Government and Research,China,0,Data Exfiltration,3,Cyber espionage,2022
2022-03-01,Data theft,Ukraine,Military,Russia,0,Data Exfiltration,5,Armed conflict,2022
2022-03-01,Data theft,Russia,Government and Research,Unknown,0,Data Exfiltration,4,Human rights,2022
2022-03-01,Data theft,Russia,Critical Manufacturing,Unknown,0,Data Exfiltration,4,International peace,2022
2022-03-01,Data theft,Russia,Other,Unknown,0,Data Exfiltration,4,Human rights,2022
2023-03-01,Data theft,Australia,Finance,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-03-01,Data theft,Spain,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-03-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-03-01,Data theft,Russia,Military,Ukraine,0,Data Exfiltration,5,Human rights,2023
2023-03-01,Ransomware,Chile,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2023
2023-03-01,Data theft,France,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-03-01,Data theft,Russia,Administration,Ukraine,0,Data Exfiltration,5,Armed conflict,2023
2023-03-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-03-01,Data theft,Korea,Other,Korea,0,Data Exfiltration,2,Sovereignty,2023
2023-03-01,Ransomware,Canada,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2023
2024-03-01,Disruption,Colombia,Critical Manufacturing,Unknown,1,Data Encrypted for Impact,1,Human rights,2024
2024-03-01,Data theft,Spain,Government and Research,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-03-01,Data theft,Russia,Government and Research,Ukraine,0,Data Exfiltration,3,Armed conflict,2024
2024-03-01,Ransomware,Netherlands,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2024
2024-03-01,Data theft,United Kingdom,Critical Manufacturing,Unknown,1,Data Exfiltration,2,Human rights,2024
2024-03-01,Data theft,United States,Administration,Unknown,0,Data Exfiltration,2,Sovereignty,2024
2024-03-01,Data theft,Germany,Administration,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-03-01,Data theft,United Arab Emirates,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Human rights,2024
2024-03-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2024
2024-03-01,Hijacking,Belgium,Administration,Unknown,0,Defacement,1,Sovereignty,2024
2020-04-01,Data theft,Georgia,Government and Research,Russia,0,Data Exfiltration,3,Cyber espionage,2020
2020-04-01,Data theft,United States,Government and Research,Russia,3,Data Exfiltration,2,Cyber espionage,2020
2021-04-01,Data theft,South Asia region,Government and Research,China,0,Data Exfiltration,3,Cyber espionage,2021
2022-04-01,Data theft,Russia,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2022
2022-04-01,Data theft,Russia,Finance,Unknown,0,Data Exfiltration,4,Human rights,2022
2022-04-01,Data theft,Russia,Critical Manufacturing,Ukraine,0,Data Exfiltration,4,Cyber espionage,2022
2022-04-01,Disruption,Iceland,Not available,Unknown,0,Network Denial of Service,1,Sovereignty,2022
2023-04-01,Data theft,Germany,Not available,Russia,0,Data Exfiltration,4,Due diligence,2023
2023-04-01,Ransomware,Germany,Critical Manufacturing,Unknown,0,Data Exfiltration,5,Due diligence,2023
2023-04-01,Data theft,France,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-04-01,Ransomware,Australia,Government and Research,Russia,1,Data Exfiltration,4,Due diligence,2023
2023-04-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2023
2023-04-01,Ransomware,Italy,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Sovereignty,2023
2023-04-01,Data theft,Korea,Military,Korea,0,Data Exfiltration,3,Cyber espionage,2023
2023-04-01,Ransomware,Italy,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2023
2024-04-01,Disruption,Libya,Administration,Unknown,0,Network Denial of Service,1,Sovereignty,2024
2024-04-01,Data theft,Israel,Government and Research,Unknown,1,Data Exfiltration,2,Armed conflict,2024
2024-04-01,Data theft,United Kingdom,Government and Research,China,1,Data Exfiltration,3,Cyber espionage,2024
2024-04-01,Disruption,Russia,Critical Manufacturing,Ukraine,0,Data Destruction,1,Armed conflict,2024
2024-04-01,Data theft,Argentina,Administration,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-04-01,Ransomware,Switzerland,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Sovereignty,2024
2024-04-01,Data theft,Israel,Government and Research,Unknown,1,Data Exfiltration,4,Human rights,2024
2024-04-01,Data theft,Korea,Critical Manufacturing,Korea,1,Data Exfiltration,2,Human rights,2024
2024-04-01,Data theft,Russia,Government,Russia,0,Data Exfiltration,5,Human rights,2024
2020-05-01,Disruption,Taiwan,Administration,Unknown,0,Data Destruction,3,Human rights,2020
2020-05-01,Data theft,China,Finance,China,0,Data Exfiltration,3,Cyber espionage,2020
2021-05-01,Data theft,Mexico,Government and Research,Mexico,0,Data Exfiltration,3,Cyber espionage,2021
2021-05-01,Data theft,Spain,Government and Research,Unknown,2,Data Exfiltration,2,Cyber espionage,2021
2021-05-01,Data theft,Korea,Critical Manufacturing,Korea,1,Data Exfiltration,3,Human rights,2021
2021-05-01,Data theft,Albania,Administration,Iran,5,Data Exfiltration,5,International peace,2021
2022-05-01,Disruption,Russia,Critical Manufacturing,Unknown,0,Network Denial of Service,1,Sovereignty,2022
2022-05-01,Disruption,Germany,Government and Research,Russia,0,Endpoint Denial of Service,1,International peace,2022
2022-05-01,Data theft,United States,Government and Research,Russia,3,Data Exfiltration,2,Cyber espionage,2022
2022-05-01,Data theft,Europe region,Government and Research,Unknown,0,Data Exfiltration,3,Cyber espionage,2022
2022-05-01,Disruption,Ukraine,Finance,Russia,0,Network Denial of Service,1,Armed conflict,2022
2022-05-01,Data theft,Germany,Critical Manufacturing,Unknown,2,Data Exfiltration,2,Cyber espionage,2022
2023-05-01,Data theft,Australia,Finance,Unknown,0,Data Exfiltration,2,Due diligence,2023
2023-05-01,Ransomware,United States,Administration,Unknown,1,Data Exfiltration,2,Human rights,2023
2023-05-01,Data theft,United States,Critical Manufacturing,Russia,0,Data Exfiltration,2,Cyber espionage,2023
2023-05-01,Ransomware,France,Finance,Unknown,0,Data Exfiltration,5,Human rights,2023
2024-05-01,Ransomware,Switzerland,Critical Manufacturing,Russia,0,Data Exfiltration,5,Air law,2024
2024-05-01,Data theft,Europe region,Military,Unknown,0,Data Exfiltration,2,Due diligence,2024
2024-05-01,Data theft,Belgium,Administration,Unknown,0,Data Exfiltration,3,Human rights,2024
2024-05-01,Ransomware,United States,Finance,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-05-01,Data theft,United States,Finance,Unknown,0,Data Exfiltration,4,Human rights,2024
2024-05-01,Ransomware,United States,Administration,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-05-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2024
2020-06-01,Data theft,Europe region,Government and Research,Russia,0,Data Exfiltration,2,Sovereignty,2020
2021-06-01,Data theft,Bosnia and Herzegovina,Government and Research,Unknown,0,Data Exfiltration,4,Human rights,2021
2022-06-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Due diligence,2022
2022-06-01,Hijacking,United States,Administration,Unknown,1,Data Manipulation,3,Human rights,2022
2022-06-01,Disruption,United States,Critical Manufacturing,Russia,0,Data Encrypted for Impact,1,Human rights,2022
2022-06-01,Disruption,Lithuania,Critical Manufacturing,Russia,1,Network Denial of Service,1,Due diligence,2022
2022-06-01,Data theft,Serbia,Military,China,0,Data Exfiltration,2,Due diligence,2022
2022-06-01,Data theft,United States,Administration,Unknown,0,Data Exfiltration,2,Cyber espionage,2022
2022-06-01,Data theft,Uzbekistan,Critical Manufacturing,Kazakhstan,0,Data Exfiltration,2,Cyber espionage,2022
2022-06-01,Data theft,United Arab Emirates,Critical Manufacturing,Iran,0,Data Exfiltration,2,Cyber espionage,2022
2023-06-01,Ransomware,Taiwan,Critical Manufacturing,Russia,0,Data Exfiltration,2,Due diligence,2023
2023-06-01,Ransomware,Slovakia,Administration,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-06-01,Disruption,Russia,Critical Manufacturing,Ukraine,0,Data Destruction,1,Armed conflict,2023
2023-06-01,Data theft,Turkey,Administration,Unknown,0,Data Exfiltration,5,Human rights,2023
2023-06-01,Disruption,United States,Critical Manufacturing,Unknown,1,Data Encrypted for Impact,1,Human rights,2023
2023-06-01,Disruption,United States,Administration,Unknown,0,Defacement,1,Human rights,2023
2023-06-01,Ransomware,United Kingdom,Administration,Unknown,0,Data Exfiltration,4,Human rights,2023
2023-06-01,Data theft,Italy,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2023
2023-06-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2023
2023-06-01,Ransomware,United States,Not available,Russia,0,Data Exfiltration,1,Due diligence,2023
2024-06-01,Ransomware,South America,Critical Manufacturing,Unknown,0,Account Access Removal,3,Human rights,2024
2024-06-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2024
2024-06-01,Data theft,Germany,Critical Manufacturing,Unknown,0,Account Access Removal,2,Human rights,2024
2024-06-01,Data theft,Japan,Government,China,0,Data Exfiltration,2,Cyber espionage,2024
2024-06-01,Data theft,Australia,Government and Research,Unknown,0,Data Exfiltration,4,Human rights,2024
2024-06-01,Data theft,France,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-06-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,1,Human rights,2024
2024-06-01,Data theft,Spain,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Human rights,2024
2024-06-01,Data theft,Europe region,Government and Research,Russia,0,Data Exfiltration,2,Cyber espionage,2024
2024-06-01,Disruption,Mexico,Government and Research,Unknown,0,Data Encrypted for Impact,1,Human rights,2024
2022-07-01,Data theft,Iran,Government and Research,China,0,Data Exfiltration,2,Cyber espionage,2022
2022-07-01,Data theft,Africa,Military,Korea,0,Data Exfiltration,2,Sovereignty,2022
2023-07-01,Disruption,Italy,Critical Manufacturing,Unknown,0,Data Encrypted for Impact,1,Human rights,2023
2023-07-01,Data theft,Vietnam,Government and Research,Unknown,0,Data Exfiltration,2,Sovereignty,2023
2023-07-01,Data theft,Taiwan,Government and Research,China,0,Data Exfiltration,2,Human rights,2023
2023-07-01,Hijacking,Europe region,Finance,Unknown,0,Data Manipulation,1,Human rights,2023
2024-07-01,Ransomware,France,Administration,Unknown,0,Data Exfiltration,4,Human rights,2024
2024-07-01,Data theft,Mexico,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Sovereignty,2024
2024-07-01,Disruption,United States,Critical Manufacturing,Russia,0,Data Encrypted for Impact,1,Human rights,2024
2024-07-01,Data theft,United Arab Emirates,Other,Unknown,0,Data Exfiltration,4,Human rights,2024
2024-07-01,Data theft,Singapore,Finance,Unknown,1,Data Exfiltration,2,Human rights,2024
2019-08-01,Data theft,South Asia region,Government and Research,Unknown,0,Data Exfiltration,3,Cyber espionage,2019
2021-08-01,Data theft,Indonesia,Critical Manufacturing,China,0,Data Exfiltration,3,Cyber espionage,2021
2021-08-01,Data theft,United Kingdom,Government,China,1,Data Exfiltration,2,Human rights,2021
2021-08-01,Data theft,New Zealand,Government and Research,China,1,Data Exfiltration,2,Cyber espionage,2021
2021-08-01,Disruption,Puerto Rico,Finance,Russia,0,Data Encrypted for Impact,1,Due diligence,2021
2022-08-01,Data theft,United States,Government and Research,Unknown,1,Data Exfiltration,2,Due diligence,2022
2022-08-01,Disruption,Estonia,Not available,Russia,1,Network Denial of Service,1,Due diligence,2022
2023-08-01,Data theft,France,Administration,Russia,0,Data Exfiltration,4,Due diligence,2023
2023-08-01,Data theft,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,3,Human rights,2023
2023-08-01,Data theft,Pakistan,Government and Research,Unknown,0,Data Exfiltration,2,Sovereignty,2023
2023-08-01,Data theft,United States,Government and Research,Unknown,0,Data Exfiltration,2,Human rights,2023
2023-08-01,Hijacking,Sweden,Critical Manufacturing,Iran,1,Defacement,1,Sovereignty,2023
2023-08-01,Ransomware,United States,Critical Manufacturing,Unknown,0,Data Exfiltration,2,Due diligence,2023
2023-08-01,Data theft,Turkey,Critical Manufacturing,Unknown,0,Data Exfiltration,4,Human rights,2023
